ENGLISH,TÜRKÇE
a,bir
abandon,terk etmek
ability,yetenek
able,hünerli
about,hakkında
above,üstünde
abroad,yurt dışı
absolute,mutlak
absolutely,kesinlikle
academic,akademik
accept,kabul etmek
acceptable,kabul edilebilir
access,erişim
accident,kaza
accommodation,konaklama
accompany,eşlik etmek
according to,buna göre
account,hesap
accurate,kesin
accuse,suçlamak
achieve,başarmak
achievement,başarı
acknowledge,kabullenmek
acquire,elde etmek
across,karşısında
act,davranmak
action,aksiyon
active,aktif
activity,aktivite
actor,aktör
actress,aktris
actual,gerçek
actually,Aslında
ad,reklam
adapt,adapte olmak
add,eklemek
addition,ek
additional,ek olarak
address,adres
administration,yönetim
admire,beğenmek
admit,itiraf etmek
adopt,evlat edinmek
adult,yetişkin
advance,ilerlemek
advanced,gelişmiş
advantage,avantaj
adventure,macera
advertise,ilan etmek
advertisement,reklamcılık
advertising,reklam
advice,tavsiye
advise,öğüt vermek
affair,mesele
affect,etkilemek
afford,parası yetmek
afraid,korkmuş
after,sonrasında
afternoon,öğleden sonra
afterwards,daha sonrasında
again,Tekrar
against,aykırı
age,yaş
aged,yaşlı
agency,Ajans
agenda,Gündem
agent,ajan
aggressive,saldırgan
ago,evvel
agree,kabul etmek
agreement,anlaşma
ah,Ah
ahead,ilerde
aid,yardım
aim,amaç
air,hava
aircraft,uçak
airline,havayolu
airport,havalimanı
alarm,alarm vermek
album,albüm
alcohol,alkol
alcoholic,alkollü
alive,canlı
all,Tümü
all right,Elbette
allow,izin vermek
almost,neredeyse
alone,yalnız
along,birlikte
already,çoktan
also,Ayrıca
alter,değiştirmek
alternative,alternatif
although,rağmen
always,Her zaman
amazed,şaşkın
amazing,inanılmaz
ambition,tutku
ambitious,hırslı
among,arasında
amount,miktar
analyse,analiz etmek
analysis,analiz
ancient,antik
and,Ve
anger,kızgınlık
angle,açı
angrily,öfkeyle
angry,sinirli
animal,hayvan
ankle,bilek
anniversary,yıl dönümü
announce,duyurmak
announcement,duyuru
annoy,kızdırmak
annoyed,sinirli
annoying,sinir bozucu
annual,yıllık
another,bir diğer
answer,cevap
anxious,endişeli
any,herhangi
any more,artık değil
anybody,kimse
anyone,herhangi biri
anything,herhangi bir şey
anyway,Neyse
anywhere,herhangi bir yer
apart,ayrı
apartment,apartman
apologize,özür dilemek
app,uygulama
apparent,görünen
apparently,görünüşe göre
appeal,çekici
appear,belli olmak
appearance,dış görünüş
apple,elma
application,başvuru
apply,uygula
appointment,randevu
appreciate,takdirle karşılamak
approach,yaklaşmak
appropriate,uygun
approval,onay
approve,onaylamak
approximately,yaklaşık olarak
april,nisan
architect,mimar
architecture,mimari
area,alan
argue,tartışmak
argument,argüman
arise,kalkmak
arm,kol
armed,silahlı
arms,silâh
army,ordu
around,etrafında
arrange,düzenlemek
arrangement,ayarlama
arrest,tutuklamak
arrival,varış
arrive,varmak
art,sanat
article,madde
artificial,yapay
artist,sanatçı
artistic,sanatsal
as,gibi
ashamed,utanmış
ask,sormak
asleep,uyuya kalmak
aspect,bakış açısı
assess,değer biçmek
assessment,değerlendirme
assignment,atama
assist,yardım
assistant,asistan
associate,iş arkadaşı
associated,birleşmiş
association,dernek
assume,farz etmek
at,-den
athlete,atlet
atmosphere,atmosfer
attach,eklemek
attack,saldırı
attempt,girişim
attend,katılmak
attention,dikkat
attitude,davranış
attract,cezbetmek
attraction,cazibe
attractive,çekici
audience,kitle
august,Ağustos
aunt,hala
author,yazar
authority,yetki
autumn,sonbahar
available,mevcut
average,ortalama
avoid,kaçınmak
award,ödül
